unique_id,poly_hash,F_integral,first_source_csv,first_source_row_index,first_construction_kind,first_execution_relative_dir,first_family_index,first_curve_index,first_family_label,first_curve_label,first_affine_point_count,first_projective_lower_bound,height_F_integral,degree,is_squarefree_integral_over_Q,appearance_count,xml_file,request_status,elapsed_local_seconds,max_time,max_input,seed,version,time,memory,warning,rankbounds_lb,rankbounds_ub,rank_direct,rank_g,finiteIndex,proved,ub2,final_rank_printed,rank_Jacobian,rank_status,rank_source,assumption,magma_error,unresolved,lines_text
curve_000001_5d5cedf11e3d10f0,5d5cedf11e3d10f0,36*x^6 - 97*x^4 - 97*x^2 + 36,families_construct_d4_reciprocal/d4_top_curves_summary.csv,1,d4_reciprocal,,,1,D4_t=-97/36,CURBA #1,42,44,,,,1,magma_rank_results_d4_reciprocal/xml/curve_000001_5d5cedf11e3d10f0_5d5cedf11e3d10f0.xml,ok,16.037,120,50000,3700524806,2.29-7,13.339,129.59MB,,0,8,,8,true,false,8,8,8,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,GRH,,,"============================================================
curve_000001_5d5cedf11e3d10f0 | d4_reciprocal | D4_t=-97/36 | C1
f(x) = 36*x^6 - 97*x^4 - 97*x^2 + 36
RankBounds: [0, 8]
rank(G) = 8
finiteIndex = true, proved = false, ub2 = 8
RANK DETERMINAT: rank J(Q) = 8
"
curve_000002_b021dee8184adda1,b021dee8184adda1,100*x^6 - 5*x^4 - 5*x^2 + 100,families_construct_d4_reciprocal/d4_top_curves_summary.csv,2,d4_reciprocal,,,2,D4_t=-1/20,CURBA #2,42,44,,,,1,magma_rank_results_d4_reciprocal/xml/curve_000002_b021dee8184adda1_b021dee8184adda1.xml,ok,25.206,120,50000,3264190777,2.29-7,14.189,129.59MB,,4,8,,8,true,false,8,8,8,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,GRH,,,"============================================================
curve_000002_b021dee8184adda1 | d4_reciprocal | D4_t=-1/20 | C2
f(x) = 100*x^6 - 5*x^4 - 5*x^2 + 100
RankBounds: [4, 8]
rank(G) = 8
finiteIndex = true, proved = false, ub2 = 8
RANK DETERMINAT: rank J(Q) = 8
"
curve_000004_06c008635e0780c9,06c008635e0780c9,25*x^6 - 185*x^4 - 185*x^2 + 25,families_construct_d4_reciprocal/d4_top_curves_summary.csv,4,d4_reciprocal,,,4,D4_t=-37/5,CURBA #4,42,44,,,,1,magma_rank_results_d4_reciprocal/xml/curve_000004_06c008635e0780c9_06c008635e0780c9.xml,ok,19.110,120,50000,3331038510,2.29-7,11.070,129.59MB,,0,6,,6,true,false,6,6,6,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,GRH,,,"============================================================
curve_000004_06c008635e0780c9 | d4_reciprocal | D4_t=-37/5 | C4
f(x) = 25*x^6 - 185*x^4 - 185*x^2 + 25
RankBounds: [0, 6]
rank(G) = 6
finiteIndex = true, proved = false, ub2 = 6
RANK DETERMINAT: rank J(Q) = 6
"
curve_000003_ef2f73cf0ae43690,ef2f73cf0ae43690,x^6 + 148*x^4 + 148*x^2 + 1,families_construct_d4_reciprocal/d4_top_curves_summary.csv,3,d4_reciprocal,,,3,D4_t=148,CURBA #3,42,44,,,,1,magma_rank_results_d4_reciprocal/xml/curve_000003_ef2f73cf0ae43690_ef2f73cf0ae43690.xml,ok,42.480,120,50000,3230505763,2.29-7,38.159,110.56MB,,8,8,8,,,,,,8,determined_by_RankBounds,RankBounds_lb_eq_ub,GRH,,,"============================================================
curve_000003_ef2f73cf0ae43690 | d4_reciprocal | D4_t=148 | C3
f(x) = x^6 + 148*x^4 + 148*x^2 + 1
RankBounds: [8, 8]
RANK DETERMINAT DIRECT DIN RankBounds: rank J(Q) = 8
"
curve_000005_52fa8b17317df482,52fa8b17317df482,196*x^6 - 137*x^4 - 137*x^2 + 196,families_construct_d4_reciprocal/d4_top_curves_summary.csv,5,d4_reciprocal,,,5,D4_t=-137/196,CURBA #5,42,44,,,,1,magma_rank_results_d4_reciprocal/xml/curve_000005_52fa8b17317df482_52fa8b17317df482.xml,ok,14.378,120,50000,3297353425,2.29-7,14.029,129.59MB,,0,8,,8,true,false,8,8,8,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,GRH,,,"============================================================
curve_000005_52fa8b17317df482 | d4_reciprocal | D4_t=-137/196 | C5
f(x) = 196*x^6 - 137*x^4 - 137*x^2 + 196
RankBounds: [0, 8]
rank(G) = 8
finiteIndex = true, proved = false, ub2 = 8
RANK DETERMINAT: rank J(Q) = 8
"
curve_000006_eaec9f1fe08cd8f7,eaec9f1fe08cd8f7,196*x^6 + 83*x^4 + 83*x^2 + 196,families_construct_d4_reciprocal/d4_top_curves_summary.csv,6,d4_reciprocal,,,6,D4_t=83/196,CURBA #6,42,44,,,,1,magma_rank_results_d4_reciprocal/xml/curve_000006_eaec9f1fe08cd8f7_eaec9f1fe08cd8f7.xml,ok,15.374,120,50000,1613576406,2.29-7,15.029,129.59MB,,0,8,,8,true,false,8,8,8,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,GRH,,,"============================================================
curve_000006_eaec9f1fe08cd8f7 | d4_reciprocal | D4_t=83/196 | C6
f(x) = 196*x^6 + 83*x^4 + 83*x^2 + 196
RankBounds: [0, 8]
rank(G) = 8
finiteIndex = true, proved = false, ub2 = 8
RANK DETERMINAT: rank J(Q) = 8
"
curve_000007_45ec20aa23b88ff0,45ec20aa23b88ff0,225*x^6 - 70*x^4 - 70*x^2 + 225,families_construct_d4_reciprocal/d4_top_curves_summary.csv,7,d4_reciprocal,,,7,D4_t=-14/45,CURBA #7,42,44,,,,1,magma_rank_results_d4_reciprocal/xml/curve_000007_45ec20aa23b88ff0_45ec20aa23b88ff0.xml,ok,25.421,120,50000,3397882059,2.29-7,14.500,129.59MB,,0,8,,8,true,false,8,8,8,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,GRH,,,"============================================================
curve_000007_45ec20aa23b88ff0 | d4_reciprocal | D4_t=-14/45 | C7
f(x) = 225*x^6 - 70*x^4 - 70*x^2 + 225
RankBounds: [0, 8]
rank(G) = 8
finiteIndex = true, proved = false, ub2 = 8
RANK DETERMINAT: rank J(Q) = 8
"
curve_000008_c024fdd848c48fbc,c024fdd848c48fbc,9*x^6 - 7*x^4 - 7*x^2 + 9,families_construct_d4_reciprocal/d4_top_curves_summary.csv,8,d4_reciprocal,,,8,D4_t=-7/9,CURBA #8,38,40,,,,1,magma_rank_results_d4_reciprocal/xml/curve_000008_c024fdd848c48fbc_c024fdd848c48fbc.xml,ok,15.355,120,50000,1814115537,2.29-7,10.369,129.59MB,,2,6,,6,true,false,6,6,6,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,GRH,,,"============================================================
curve_000008_c024fdd848c48fbc | d4_reciprocal | D4_t=-7/9 | C8
f(x) = 9*x^6 - 7*x^4 - 7*x^2 + 9
RankBounds: [2, 6]
rank(G) = 6
finiteIndex = true, proved = false, ub2 = 6
RANK DETERMINAT: rank J(Q) = 6
"
curve_000009_65a1563454100401,65a1563454100401,25*x^6 + 7*x^4 + 7*x^2 + 25,families_construct_d4_reciprocal/d4_top_curves_summary.csv,9,d4_reciprocal,,,9,D4_t=7/25,CURBA #9,38,40,,,,1,magma_rank_results_d4_reciprocal/xml/curve_000009_65a1563454100401_65a1563454100401.xml,ok,15.116,120,50000,1780953801,2.29-7,10.369,129.59MB,,0,6,,6,true,false,6,6,6,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,GRH,,,"============================================================
curve_000009_65a1563454100401 | d4_reciprocal | D4_t=7/25 | C9
f(x) = 25*x^6 + 7*x^4 + 7*x^2 + 25
RankBounds: [0, 6]
rank(G) = 6
finiteIndex = true, proved = false, ub2 = 6
RANK DETERMINAT: rank J(Q) = 6
"
curve_000010_c2f6d6b8b780c642,c2f6d6b8b780c642,4*x^6 + 46*x^4 + 46*x^2 + 4,families_construct_d4_reciprocal/d4_top_curves_summary.csv,10,d4_reciprocal,,,10,D4_t=23/2,CURBA #10,38,40,,,,1,magma_rank_results_d4_reciprocal/xml/curve_000010_c2f6d6b8b780c642_c2f6d6b8b780c642.xml,ok,21.831,120,50000,1763979712,2.29-7,11.169,129.59MB,,4,6,,6,true,false,6,6,6,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,GRH,,,"============================================================
curve_000010_c2f6d6b8b780c642 | d4_reciprocal | D4_t=23/2 | C10
f(x) = 4*x^6 + 46*x^4 + 46*x^2 + 4
RankBounds: [4, 6]
rank(G) = 6
finiteIndex = true, proved = false, ub2 = 6
RANK DETERMINAT: rank J(Q) = 6
"
curve_000012_b32252bacb155b2b,b32252bacb155b2b,36*x^6 - 37*x^4 - 37*x^2 + 36,families_construct_d4_reciprocal/d4_top_curves_summary.csv,12,d4_reciprocal,,,12,D4_t=-37/36,CURBA #12,34,36,,,,1,magma_rank_results_d4_reciprocal/xml/curve_000012_b32252bacb155b2b_b32252bacb155b2b.xml,ok,19.257,120,50000,4273186008,2.29-7,10.720,129.59MB,,0,6,,6,true,false,6,6,6,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,GRH,,,"============================================================
curve_000012_b32252bacb155b2b | d4_reciprocal | D4_t=-37/36 | C12
f(x) = 36*x^6 - 37*x^4 - 37*x^2 + 36
RankBounds: [0, 6]
rank(G) = 6
finiteIndex = true, proved = false, ub2 = 6
RANK DETERMINAT: rank J(Q) = 6
"
curve_000013_87a56691ef63c40e,87a56691ef63c40e,25*x^6 - 70*x^4 - 70*x^2 + 25,families_construct_d4_reciprocal/d4_top_curves_summary.csv,13,d4_reciprocal,,,13,D4_t=-14/5,CURBA #13,34,36,,,,1,magma_rank_results_d4_reciprocal/xml/curve_000013_87a56691ef63c40e_87a56691ef63c40e.xml,ok,11.025,120,50000,2464139875,2.29-7,10.689,129.59MB,,0,6,,6,true,false,6,6,6,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,GRH,,,"============================================================
curve_000013_87a56691ef63c40e | d4_reciprocal | D4_t=-14/5 | C13
f(x) = 25*x^6 - 70*x^4 - 70*x^2 + 25
RankBounds: [0, 6]
rank(G) = 6
finiteIndex = true, proved = false, ub2 = 6
RANK DETERMINAT: rank J(Q) = 6
"
curve_000011_b109903d35e6919c,b109903d35e6919c,x^6 + 71*x^4 + 71*x^2 + 1,families_construct_d4_reciprocal/d4_top_curves_summary.csv,11,d4_reciprocal,,,11,D4_t=71,CURBA #11,38,40,,,,1,magma_rank_results_d4_reciprocal/xml/curve_000011_b109903d35e6919c_b109903d35e6919c.xml,ok,44.169,120,50000,2530987603,2.29-7,33.840,110.56MB,,6,6,6,,,,,,6,determined_by_RankBounds,RankBounds_lb_eq_ub,GRH,,,"============================================================
curve_000011_b109903d35e6919c | d4_reciprocal | D4_t=71 | C11
f(x) = x^6 + 71*x^4 + 71*x^2 + 1
RankBounds: [6, 6]
RANK DETERMINAT DIRECT DIN RankBounds: rank J(Q) = 6
"
curve_000014_1844f2128a3c7b10,1844f2128a3c7b10,64*x^6 - 83*x^4 - 83*x^2 + 64,families_construct_d4_reciprocal/d4_top_curves_summary.csv,14,d4_reciprocal,,,14,D4_t=-83/64,CURBA #14,34,36,,,,1,magma_rank_results_d4_reciprocal/xml/curve_000014_1844f2128a3c7b10_1844f2128a3c7b10.xml,ok,11.963,120,50000,2630992992,2.29-7,11.609,129.59MB,,0,6,,6,true,false,6,6,6,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,GRH,,,"============================================================
curve_000014_1844f2128a3c7b10 | d4_reciprocal | D4_t=-83/64 | C14
f(x) = 64*x^6 - 83*x^4 - 83*x^2 + 64
RankBounds: [0, 6]
rank(G) = 6
finiteIndex = true, proved = false, ub2 = 6
RANK DETERMINAT: rank J(Q) = 6
"
curve_000015_227214758fbb0374,227214758fbb0374,81*x^6 + 98*x^4 + 98*x^2 + 81,families_construct_d4_reciprocal/d4_top_curves_summary.csv,15,d4_reciprocal,,,15,D4_t=98/81,CURBA #15,34,36,,,,1,magma_rank_results_d4_reciprocal/xml/curve_000015_227214758fbb0374_227214758fbb0374.xml,ok,21.708,120,50000,71917156,2.29-7,12.730,129.59MB,,0,8,,8,true,false,8,8,8,determined_by_MordellWeilGroupGenus2,finiteIndex_true_and_rankG_eq_ub2,GRH,,,"============================================================
curve_000015_227214758fbb0374 | d4_reciprocal | D4_t=98/81 | C15
f(x) = 81*x^6 + 98*x^4 + 98*x^2 + 81
RankBounds: [0, 8]
rank(G) = 8
finiteIndex = true, proved = false, ub2 = 8
RANK DETERMINAT: rank J(Q) = 8
"
